partido_nombre,partido_nombre_corto,partido_codigo,partido_color,opcion_nombre,opcion_nombre_corto,partido_orden,opcion_orden,categoria_nombre
FRENTE DE TODOS,FRENTE DE TODOS,136,,CELESTE Y BLANCA A,CELESTE Y BLANCA A,1,1,Presidente y Vicepresidente
FRENTE PATRIOTA,FRENTE PATRIOTA,132,,CELESTE,CELESTE,2,2,Presidente y Vicepresidente
FRENTE NOS,FRENTE NOS,131,,Celeste 2019 A,Celeste 2019 A,3,3,Presidente y Vicepresidente
FRENTE DE IZQUIERDA Y DE TRABAJADORES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,133,,UNIDAD A,UNIDAD A,4,4,Presidente y Vicepresidente
CONSENSO FEDERAL,CONSENSO FEDERAL,137,,CONSENSO PARA EL FUTURO,CONSENSO PARA EL FUTURO,5,5,Presidente y Vicepresidente
UNITE POR LA LIBERTAD Y LA DIGNIDAD,UNITE POR LA LIBERTAD Y LA DIGNIDAD,87,,DESPERTAR,DESPERTAR,6,6,Presidente y Vicepresidente
JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,135,,JUNTOS SOMOS EL CAMBIO,JUNTOS SOMOS EL CAMBIO,7,7,Presidente y Vicepresidente
PARTIDO AUTONOMISTA,PARTIDO AUTONOMISTA,36,,VALORES Y EXPERIENCIA,VALORES Y EXPERIENCIA,8,8,Presidente y Vicepresidente
MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO,13,,UNIDAD DE LA IZQUIERDA,UNIDAD DE LA IZQUIERDA,9,9,Presidente y Vicepresidente
MOVIMIENTO DE ACCIÓN VECINAL,MOVIMIENTO DE ACCIÓN VECINAL,57,,COMPROMISO VECINAL,COMPROMISO VECINAL,10,10,Presidente y Vicepresidente
