Partido,codigo,nombre corto,gobernador,intendente capital,orden
UNITE POR LA LIBERTAD Y LA DIGNIDAD,P195,Unite,,Lomuoio,10
PARTIDO HUMANISTA,P22,Humanista,Fernando Schüle,,20
CORDOBA CAMBIA,A500,Cordoba Cambia,Mario Negri,Luis Juez,30
ENCUENTRO VECINAL CORDOBA,P217,Encuentro vecinal,Aurelio García Elorrio,Juan Pablo Quinteros,40
UCeDe,20,UCD,Carlos Bianco,,50
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,P231,PAIS,Enrique Sella,Jose Contreras,60
UCR,3,UCR,Ramón Mestre,Rodrigo De Loredo,70
FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,A830,FIT,Liliana Olivero,Laura Vilches,80
MOVIMIENTO DE AVANZADA SOCIALISTA,P238,MAS,Eduardo Mulhall,Mateo Romero,90
HACEMOS POR CORDOBA,A601,Hacemos por Cba,Juan Schiaretti,Martin Llaryora,100
MOVIMIENTO DE ACCION VECINAL,P57,Accion Vecinal,Kasem Dandach,Leonardo Burela,110
VECINALISMO INDEPENDIENTE,P191,Vecinalismo Ind,Alberto Beltrán,Abelardo Losano,120
UNION CIUDADANA,P200,Union Ciudadana,Agustín Spaccesi,Andres Peralta,130
MST - NUEVA IZQUIERDA,A300,MST,Luciana Echevarría,Maru Acosta,140
LIBRES DEL SUR,,Libres del Sur,,Olga Riutort,150
